id_regiao,regiao,km_rodoanel,altura_cm,nivel_alerta,data_preenchimento,ultima_poda,clima,temperatura_media_c,graus_dia,inclinacao_graus,area_risco
RA-01,Rodoanel Oeste,km 12+000,"4,5",baixo,2025-08-11 00:00:00,2025-07-28 00:00:00,Ensolarado,16,42,3,baixo
RA-02,Rodoanel Sul,km 42+000,5,baixo,2025-08-11 00:00:00,2025-07-26 00:00:00,Ensolarado,"17,5","52,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,4,baixo,2025-08-11 00:00:00,2025-07-24 00:00:00,Ensolarado,17,49,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"4,5",baixo,2025-08-11 00:00:00,2025-07-22 00:00:00,Ensolarado,18,56,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,1",baixo,2025-08-18 00:00:00,2025-07-28 00:00:00,Nublado,16,42,3,baixo
RA-02,Rodoanel Sul,km 42+000,"5,8",baixo,2025-08-18 00:00:00,2025-07-26 00:00:00,Nublado,"17,5","52,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,9",baixo,2025-08-18 00:00:00,2025-07-24 00:00:00,Nublado,17,49,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,2",baixo,2025-08-18 00:00:00,2025-07-22 00:00:00,Nublado,18,56,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,9",baixo,2025-08-25 00:00:00,2025-07-28 00:00:00,Parcialmente nublado,16,42,3,baixo
RA-02,Rodoanel Sul,km 42+000,"6,8",baixo,2025-08-25 00:00:00,2025-07-26 00:00:00,Parcialmente nublado,"17,5","52,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,6,baixo,2025-08-25 00:00:00,2025-07-24 00:00:00,Parcialmente nublado,17,49,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"6,1",baixo,2025-08-25 00:00:00,2025-07-22 00:00:00,Parcialmente nublado,18,56,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"6,4",baixo,2025-09-01 00:00:00,2025-07-28 00:00:00,Chuva moderada,18,56,3,baixo
RA-02,Rodoanel Sul,km 42+000,"7,5",medio,2025-09-01 00:00:00,2025-07-26 00:00:00,Chuvoso,"19,5","66,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"6,8",baixo,2025-09-01 00:00:00,2025-07-24 00:00:00,Ensolarado,19,63,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"6,7",baixo,2025-09-01 00:00:00,2025-07-22 00:00:00,Parcialmente nublado,20,70,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"7,5",medio,2025-09-08 00:00:00,2025-07-28 00:00:00,Chuvoso,18,56,3,baixo
RA-02,Rodoanel Sul,km 42+000,"8,8",medio,2025-09-08 00:00:00,2025-07-26 00:00:00,Ensolarado,"19,5","66,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"8,3",medio,2025-09-08 00:00:00,2025-07-24 00:00:00,Parcialmente nublado,19,63,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"7,9",medio,2025-09-08 00:00:00,2025-07-22 00:00:00,Nublado,20,70,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"8,4",medio,2025-09-15 00:00:00,2025-07-28 00:00:00,Ensolarado,18,56,3,baixo
RA-02,Rodoanel Sul,km 42+000,"9,9",medio,2025-09-15 00:00:00,2025-07-26 00:00:00,Parcialmente nublado,"19,5","66,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"9,6",medio,2025-09-15 00:00:00,2025-07-24 00:00:00,Nublado,19,63,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"8,9",medio,2025-09-15 00:00:00,2025-07-22 00:00:00,Chuva moderada,20,70,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,9,medio,2025-09-22 00:00:00,2025-07-28 00:00:00,Parcialmente nublado,18,56,3,baixo
RA-02,Rodoanel Sul,km 42+000,"4,5",baixo,2025-09-22 00:00:00,2025-09-22 00:00:00,Nublado,"19,5","66,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,5",baixo,2025-09-22 00:00:00,2025-09-22 00:00:00,Chuva moderada,19,63,"8,8",alto
